tissue,direction,go_id,term,selected_genes,term_size,overlap,p,genes,fdr
whole plant,up,GO:0042542,response to hydrogen peroxide,75,51,1,0.15615391804589307,AT5G39610,0.23613519314257
hypocotyl,up,GO:0009816,"defense response to bacterium, incompatible interaction",85,41,1,0.14332200890863683,AT5G27420,0.23978874567406547
root,down,GO:0052696,flavonoid glucuronidation,55,63,1,0.14253768883865306,AT3G21560,0.2398805007284649
root,down,GO:0006417,regulation of translation,55,63,1,0.14253768883865306,AT1G35730,0.2398805007284649
root,up,GO:0019538,protein metabolic process,211,14,1,0.12314401099663812,AT4G14670,0.24036763684920712
root,up,GO:0006863,purine nucleobase transport,211,14,1,0.12314401099663812,AT1G19770,0.24036763684920712
root,up,GO:0009862,"systemic acquired resistance, salicylic acid mediated signaling pathway",211,14,1,0.12314401099663812,AT3G56400,0.24036763684920712
root,up,GO:0048829,root cap development,211,14,1,0.12314401099663812,AT3G59420,0.24036763684920712
root,up,GO:0055062,phosphate ion homeostasis,211,14,1,0.12314401099663812,AT5G04340,0.24036763684920712
hypocotyl,up,GO:0045893,"positive regulation of transcription, DNA-templated",85,181,2,0.14857674618389904,"AT3G11440,AT5G05410",0.2438901305282871
root,down,GO:0009740,gibberellic acid mediated signaling pathway,55,67,1,0.15088128239304055,AT1G44090,0.24787639250285234
root,up,GO:0043069,negative regulation of programmed cell death,211,15,1,0.13133892678171616,AT3G52400,0.2539219251113179
hypocotyl,down,GO:0030154,cell differentiation,71,264,2,0.2014523033782858,"AT1G56650,AT3G30210",0.2572390950830419
root,down,GO:0042787,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,55,72,1,0.16119874763406944,AT1G15100,0.25844468984988495
root,down,GO:0006810,transport,55,299,2,0.16480530946949185,"AT2G38100,AT4G34580",0.25844468984988495
shoot,up,GO:0010150,leaf senescence,58,80,1,0.1861803815079863,AT1G69490,0.25919229582484365
whole plant,up,GO:0009664,plant-type cell wall organization,75,59,1,0.17836008971052733,AT5G05290,0.2632934657631594
root,up,GO:0009682,induced systemic resistance,211,16,1,0.13945761416872257,AT2G30770,0.2645784642640251
root,up,GO:0070588,calcium ion transmembrane transport,211,16,1,0.13945761416872257,AT5G66650,0.2645784642640251
root,down,GO:0010150,leaf senescence,55,80,1,0.17745121712709755,AT1G20780,0.2720918662615496
root,down,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,55,82,1,0.1814657805810283,AT1G15100,0.2721986708715425
root,up,GO:0005983,starch catabolic process,211,17,1,0.1475007788823616,AT4G17090,0.27220598284654
root,up,GO:0034605,cellular response to heat,211,17,1,0.1475007788823616,AT1G21910,0.27220598284654
root,up,GO:0050826,response to freezing,211,17,1,0.1475007788823616,AT1G12610,0.27220598284654
whole plant,up,GO:0006260,DNA replication,75,63,1,0.18924595160201016,AT4G32700,0.2728662557982472
root,down,GO:0005975,carbohydrate metabolic process,55,329,2,0.19093185962403988,"AT1G05650,AT5G20340",0.28030421944805856
root,up,GO:0010345,suberin biosynthetic process,211,18,1,0.1554691201446909,AT3G56700,0.28178778026225226
root,up,GO:0010229,inflorescence development,211,18,1,0.1554691201446909,AT3G45640,0.28178778026225226
hypocotyl,up,GO:0009644,response to high light intensity,85,52,1,0.1781884430715387,AT1G17870,0.28708138050414567
hypocotyl,up,GO:0016567,protein ubiquitination,85,393,3,0.18441437979986752,"AT2G24240,AT3G25650,AT5G27420",0.29078804380563233
hypocotyl,up,GO:0006950,response to stress,85,56,1,0.19051630456231083,AT4G13450,0.29078804380563233
hypocotyl,up,GO:0031347,regulation of defense response,85,56,1,0.19051630456231083,AT2G34600,0.29078804380563233
root,up,GO:0016567,protein ubiquitination,211,393,6,0.163180277008197,"AT1G03770,AT1G24330,AT1G60190,AT2G35930,AT5G27420,AT5G64660",0.2909013696417092
root,up,GO:0009266,response to temperature stimulus,211,19,1,0.16336333073475295,AT3G61190,0.2909013696417092
whole plant,up,GO:0009733,response to auxin,75,256,2,0.2088298681702259,"AT1G43040,AT5G39610",0.2942602687853183
hypocotyl,down,GO:0010228,vegetative to reproductive phase transition of meristem,71,86,1,0.23755250115262747,AT4G38960,0.29874026660103153
root,up,GO:0009269,response to desiccation,211,20,1,0.17118409704766138,AT1G32640,0.2995721698334074
root,up,GO:0009056,catabolic process,211,20,1,0.17118409704766138,AT1G68620,0.2995721698334074
hypocotyl,down,GO:0006810,transport,71,299,2,0.2418788369203721,"AT2G38100,AT5G13930",0.2996409472297147
hypocotyl,up,GO:0006813,potassium ion transport,85,60,1,0.20266138113828727,AT2G24240,0.3039920717074309
hypocotyl,down,GO:0007623,circadian rhythm,71,91,1,0.24950496304977274,AT4G38960,0.30454282254604614
shoot,up,GO:0009739,response to gibberellin,58,98,1,0.2231214739994208,AT4G09460,0.30464662796074765
hypocotyl,up,GO:0052696,flavonoid glucuronidation,85,63,1,0.2116518486325489,AT2G43820,0.3120967937463009
whole plant,up,GO:0006979,response to oxidative stress,75,273,2,0.2295570032719437,"AT2G44240,AT5G39610",0.31531723636715503
whole plant,up,GO:0010150,leaf senescence,75,80,1,0.23394504633692148,AT5G39610,0.31531723636715503
hypocotyl,up,GO:0006508,proteolysis,85,429,3,0.21912829628173083,"AT1G17870,AT5G52160,AT5G58830",0.3177360296085097
root,up,GO:0015992,proton transport,211,22,1,0.18660801085357745,AT2G22500,0.3183313126325733
root,up,GO:0009646,response to absence of light,211,22,1,0.18660801085357745,AT5G37770,0.3183313126325733
root,up,GO:0080092,regulation of pollen tube growth,211,22,1,0.18660801085357745,AT2G07040,0.3183313126325733
hypocotyl,up,GO:0009740,gibberellic acid mediated signaling pathway,85,67,1,0.22348347305535157,AT3G11440,0.3187387238658293
hypocotyl,up,GO:0042545,cell wall modification,85,69,1,0.2293333064169189,AT1G11370,0.3218064138430959
hypocotyl,down,GO:0006470,protein dephosphorylation,71,99,1,0.2682457458055468,AT1G07430,0.3226724188675418
root,up,GO:0031408,oxylipin biosynthetic process,211,23,1,0.19421249974142774,AT5G42650,0.3258275822108251
root,up,GO:0031348,negative regulation of defense response,211,23,1,0.19421249974142774,AT3G61190,0.3258275822108251
root,down,GO:0009826,unidimensional cell growth,55,107,1,0.23005344488810886,AT1G44090,0.32783289555031536
root,down,GO:0015979,photosynthesis,55,109,1,0.2338157830516754,AT3G22840,0.32783289555031536
root,down,GO:0009658,chloroplast organization,55,111,1,0.237560069239359,AT3G27750,0.32783289555031536
hypocotyl,up,GO:0009651,response to salt stress,85,448,3,0.23797633057173775,"AT1G18570,AT2G16720,AT3G50940",0.3286339803133521
shoot,up,GO:0048366,leaf development,58,110,1,0.2468280993827285,AT1G13260,0.3306565104938438
root,up,GO:0040007,growth,211,24,1,0.2017462272562522,AT1G35140,0.3329632856343024
root,up,GO:0006730,one-carbon metabolic process,211,24,1,0.2017462272562522,AT4G20990,0.3329632856343024
root,down,GO:0044550,secondary metabolite biosynthetic process,55,116,1,0.24684236428018722,AT3G26320,0.33396319873201796
whole plant,up,GO:0006413,translational initiation,75,89,1,0.2566156854083721,AT4G30300,0.33777260692270145
whole plant,up,GO:0006810,transport,75,299,2,0.2615013731014463,"AT3G47740,AT4G30300",0.33777260692270145
root,up,GO:0046686,response to cadmium ion,211,336,5,0.20661023340279044,"AT1G49010,AT2G39920,AT2G47190,AT3G23250,AT4G34990",0.3382409466190844
shoot,up,GO:0044550,secondary metabolite biosynthetic process,58,116,1,0.2584133430253604,AT3G26220,0.33970176389313106
shoot,up,GO:0009723,response to ethylene,58,121,1,0.26793378560584985,AT4G37260,0.33970176389313106
shoot,up,GO:0010200,response to chitin,58,121,1,0.26793378560584985,AT4G37260,0.33970176389313106
root,down,GO:0010200,response to chitin,55,121,1,0.2560136824660761,AT2G33710,0.33971046327229326
root,up,GO:0071456,cellular response to hypoxia,211,25,1,0.20920984874111637,AT5G26920,0.339756794355573
shoot,down,GO:0071555,cell wall organization,167,269,7,0.0039558886052821615,"AT1G08990,AT2G15470,AT2G33160,AT2G43860,AT4G13760,AT5G25550,AT5G50750",0.34491018586733735
shoot,down,GO:0009686,gibberellin biosynthetic process,167,26,2,0.01571513424642724,"AT1G60980,AT1G78440",0.34491018586733735
shoot,down,GO:0005975,carbohydrate metabolic process,167,329,6,0.035883504521158585,"AT1G55740,AT2G15470,AT2G33160,AT2G43860,AT3G62710,AT4G13760",0.34491018586733735
shoot,down,GO:0033356,UDP-L-arabinose metabolic process,167,5,1,0.036422358993354956,AT5G50750,0.34491018586733735
shoot,down,GO:0009081,branched-chain amino acid metabolic process,167,5,1,0.036422358993354956,AT1G50090,0.34491018586733735
shoot,down,GO:0000160,phosphorelay signal transduction system,167,41,2,0.03690033518239956,"AT1G74890,AT5G62920",0.34491018586733735
shoot,down,GO:0006048,UDP-N-acetylglucosamine biosynthetic process,167,6,1,0.04354701435721353,AT1G31070,0.34491018586733735
shoot,down,GO:1904668,positive regulation of ubiquitin protein ligase activity,167,6,1,0.04354701435721353,AT5G26900,0.34491018586733735
shoot,down,GO:0043090,amino acid import,167,6,1,0.04354701435721353,AT1G44800,0.34491018586733735
shoot,down,GO:0009823,cytokinin catabolic process,167,6,1,0.04354701435721353,AT2G19500,0.34491018586733735
shoot,down,GO:0010098,suspensor development,167,7,1,0.050619303425282834,AT2G33160,0.34491018586733735
shoot,down,GO:0080144,amino acid homeostasis,167,7,1,0.050619303425282834,AT1G44800,0.34491018586733735
shoot,down,GO:0045487,gibberellin catabolic process,167,7,1,0.050619303425282834,AT1G78440,0.34491018586733735
shoot,down,GO:0000712,resolution of meiotic recombination intermediates,167,7,1,0.050619303425282834,AT5G63920,0.34491018586733735
shoot,down,GO:0009736,cytokinin-activated signaling pathway,167,53,2,0.05857317422321616,"AT1G74890,AT5G62920",0.34491018586733735
shoot,down,GO:0055075,potassium ion homeostasis,167,10,1,0.07152578489435532,AT3G02850,0.34491018586733735
shoot,down,GO:0009942,longitudinal axis specification,167,10,1,0.07152578489435532,AT5G59340,0.34491018586733735
shoot,down,GO:0006139,nucleobase-containing compound metabolic process,167,10,1,0.07152578489435532,AT1G20750,0.34491018586733735
shoot,down,GO:0009880,embryonic pattern specification,167,10,1,0.07152578489435532,AT5G59340,0.34491018586733735
shoot,down,GO:0009415,response to water,167,11,1,0.07839240700686773,AT2G21490,0.34491018586733735
shoot,down,GO:0010208,pollen wall assembly,167,12,1,0.08520854819508088,AT3G55090,0.34491018586733735
shoot,down,GO:0010628,positive regulation of gene expression,167,13,1,0.09197457735719701,AT4G10350,0.34491018586733735
shoot,down,GO:0034765,regulation of ion transmembrane transport,167,13,1,0.09197457735719701,AT3G02850,0.34491018586733735
shoot,down,GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,167,13,1,0.09197457735719701,AT2G17310,0.34491018586733735
shoot,down,GO:0006268,DNA unwinding involved in DNA replication,167,13,1,0.09197457735719701,AT5G63920,0.34491018586733735
shoot,down,GO:0042545,cell wall modification,167,69,2,0.09247972726195765,"AT2G47280,AT3G60730",0.34491018586733735
shoot,down,GO:0007067,mitotic nuclear division,167,70,2,0.09475478513258213,"AT5G26900,AT5G63920",0.34491018586733735
shoot,down,GO:0048829,root cap development,167,14,1,0.09869086071184974,AT4G10350,0.34491018586733735
shoot,down,GO:0009807,lignan biosynthetic process,167,15,1,0.10535776181744927,AT1G64160,0.34491018586733735
shoot,down,GO:0006949,syncytium formation,167,15,1,0.10535776181744927,AT4G26260,0.34491018586733735
shoot,down,GO:0010541,acropetal auxin transport,167,15,1,0.10535776181744927,AT3G28390,0.34491018586733735
shoot,down,GO:0009698,phenylpropanoid metabolic process,167,16,1,0.11197564159139002,AT1G20480,0.34491018586733735
shoot,down,GO:0006349,regulation of gene expression by genetic imprinting,167,16,1,0.11197564159139002,AT4G25530,0.34491018586733735
shoot,down,GO:0006265,DNA topological change,167,16,1,0.11197564159139002,AT5G63920,0.34491018586733735
shoot,down,GO:0000272,polysaccharide catabolic process,167,17,1,0.11854485832911928,AT2G43600,0.34491018586733735
shoot,down,GO:0006032,chitin catabolic process,167,17,1,0.11854485832911928,AT2G43600,0.34491018586733735
shoot,down,GO:0009901,anther dehiscence,167,17,1,0.11854485832911928,AT3G62440,0.34491018586733735
shoot,down,GO:0010167,response to nitrate,167,19,1,0.13153872288145577,AT2G14210,0.34491018586733735
shoot,down,GO:0010315,auxin efflux,167,19,1,0.13153872288145577,AT3G28390,0.34491018586733735
shoot,down,GO:0007126,meiotic nuclear division,167,19,1,0.13153872288145577,AT5G63920,0.34491018586733735
shoot,down,GO:0030048,actin filament-based movement,167,19,1,0.13153872288145577,AT4G28710,0.34491018586733735
shoot,down,GO:0008284,positive regulation of cell proliferation,167,20,1,0.13796407434693495,AT5G59340,0.34491018586733735
shoot,down,NOT GO:0051603,NOT proteolysis involved in cellular protein catabolic process,167,20,1,0.13796407434693495,AT3G12230,0.34491018586733735
shoot,down,GO:0019853,L-ascorbic acid biosynthetic process,167,20,1,0.13796407434693495,AT4G26260,0.34491018586733735
hypocotyl,down,GO:0009860,pollen tube growth,71,109,1,0.29102398656367506,AT3G26870,0.34507129835407185
hypocotyl,down,GO:0009658,chloroplast organization,71,111,1,0.29549502368796027,AT3G56290,0.34543784459296767
hypocotyl,down,GO:0006869,lipid transport,71,113,1,0.2999382596281894,AT4G12550,0.3457621604047183
root,up,GO:0009789,positive regulation of abscisic acid-activated signaling pathway,211,26,1,0.21660401349852246,AT5G26920,0.3489731328587306
hypocotyl,up,GO:0016310,phosphorylation,85,467,3,0.25710043595940046,"AT4G15530,AT4G28130,AT5G03640",0.34949590513231
shoot,down,GO:0007267,cell-cell signaling,167,21,1,0.14434217011513575,AT2G19040,0.3523546353245639
shoot,down,GO:0045490,pectin catabolic process,167,92,2,0.14827250108807496,"AT2G47280,AT3G60730",0.3523546353245639
shoot,down,GO:0019748,secondary metabolic process,167,23,1,0.15695797391730573,AT3G12230,0.3523546353245639
shoot,down,GO:0016998,cell wall macromolecule catabolic process,167,23,1,0.15695797391730573,AT2G43600,0.3523546353245639
shoot,down,GO:0009960,endosperm development,167,23,1,0.15695797391730573,AT3G19700,0.3523546353245639
root,down,GO:0006629,lipid metabolic process,55,132,1,0.2758063406450181,AT2G44810,0.352419213046412
root,down,GO:0016192,vesicle-mediated transport,55,132,1,0.2758063406450181,AT4G00800,0.352419213046412
root,up,GO:0009411,response to UV,211,27,1,0.22392936484582185,AT3G50930,0.3551379770601706
root,up,GO:0010183,pollen tube guidance,211,27,1,0.22392936484582185,AT3G45640,0.3551379770601706
hypocotyl,down,GO:0007165,signal transduction,71,362,2,0.3152226405767078,"AT3G51560,AT5G45210",0.35604373660497135
hypocotyl,down,GO:0009723,response to ethylene,71,121,1,0.3174365844429865,AT1G56650,0.35604373660497135
root,up,GO:0048510,regulation of timing of transition from vegetative to reproductive phase,211,28,1,0.23118654017012322,AT1G12610,0.36100667426565397
root,up,GO:0045489,pectin biosynthetic process,211,28,1,0.23118654017012322,AT3G28340,0.36100667426565397
whole plant,up,GO:0007049,cell cycle,75,105,1,0.2952961442860713,AT4G32700,0.36469294674277597
whole plant,up,GO:0005975,carbohydrate metabolic process,75,329,2,0.29842194148277645,"AT2G04060,AT3G21370",0.36469294674277597
whole plant,up,GO:0009826,unidimensional cell growth,75,107,1,0.29998935941744476,AT5G05290,0.36469294674277597
shoot,down,GO:0019762,glucosinolate catabolic process,167,25,1,0.1693888680081103,AT2G33070,0.3653485388410222
shoot,down,GO:0005992,trehalose biosynthetic process,167,25,1,0.1693888680081103,AT4G27550,0.3653485388410222
shoot,up,GO:0016042,lipid catabolic process,58,136,1,0.29578020158956503,AT1G58430,0.36842797040103714
root,up,GO:0010268,brassinosteroid homeostasis,211,29,1,0.238376170982697,AT5G45340,0.36939208175181293
root,down,GO:0006886,intracellular protein transport,55,144,1,0.2968088923660941,AT4G00800,0.3699517400616183
root,down,GO:0035556,intracellular signal transduction,55,146,1,0.30025068758624096,AT3G46800,0.3699517400616183
root,down,GO:0032259,methylation,55,151,1,0.3087829785804788,AT4G26460,0.373789921439527
whole plant,up,GO:0006869,lipid transport,75,113,1,0.31388475104440083,AT3G47740,0.37424720316832405
root,up,GO:0006814,sodium ion transport,211,30,1,0.24549888297288638,AT5G17850,0.3747088213796687
root,up,GO:0030162,regulation of proteolysis,211,30,1,0.24549888297288638,AT1G62170,0.3747088213796687
whole plant,up,GO:0044550,secondary metabolite biosynthetic process,75,116,1,0.3207300324945264,AT1G01280,0.3751936229181252
root,down,GO:0009873,ethylene-activated signaling pathway,55,155,1,0.315535192329285,AT2G33710,0.37537807363311493
shoot,down,GO:0006284,base-excision repair,167,27,1,0.18163754651883096,AT1G75090,0.3753887723260292
shoot,down,GO:0007059,chromosome segregation,167,27,1,0.18163754651883096,AT5G63920,0.3753887723260292
shoot,down,GO:0042391,regulation of membrane potential,167,28,1,0.1876943861630146,AT3G02850,0.3753887723260292
shoot,down,GO:0010540,basipetal auxin transport,167,28,1,0.1876943861630146,AT3G28390,0.3753887723260292
root,up,GO:0016132,brassinosteroid biosynthetic process,211,31,1,0.25255529606152244,AT5G45340,0.3797683340776967
root,up,GO:0009567,double fertilization forming a zygote and endosperm,211,31,1,0.25255529606152244,AT5G18000,0.3797683340776967
shoot,down,GO:0048825,cotyledon development,167,29,1,0.19370666456175484,AT5G59340,0.3804952339605899
root,down,GO:0009416,response to light stimulus,55,161,1,0.32554225658508124,AT1G44090,0.3807189102435696
whole plant,up,GO:0009723,response to ethylene,75,121,1,0.33198939654763526,AT5G39610,0.3811730108509886
hypocotyl,up,GO:0006413,translational initiation,85,89,1,0.2854882444616005,AT2G39820,0.38211503489475757
shoot,down,GO:0048544,recognition of pollen,167,30,1,0.19967470759952544,AT1G61490,0.3853371550166281
hypocotyl,up,GO:0045490,pectin catabolic process,85,92,1,0.29355513403039657,AT1G11370,0.3869590403127955
root,up,GO:0006623,protein targeting to vacuole,211,32,1,0.2595460244538547,AT1G09070,0.38741061003038607
hypocotyl,up,GO:0009617,response to bacterium,85,96,1,0.30417113338285173,AT1G18570,0.38916012653394266
hypocotyl,up,GO:0009813,flavonoid biosynthetic process,85,96,1,0.30417113338285173,AT2G43820,0.38916012653394266
root,up,GO:0009826,unidimensional cell growth,211,107,2,0.2639999331749842,"AT3G45960,AT3G45970",0.39118238273373573
shoot,up,GO:0009651,response to salt stress,58,448,2,0.3199023402993432,"AT3G21780,AT5G49450",0.3916045889871271
root,up,GO:0016032,viral process,211,33,1,0.26647167669199623,AT5G24590,0.3919836983222843
hypocotyl,up,GO:0007275,multicellular organism development,85,300,2,0.3118796177960492,"AT3G30290,AT5G17430",0.39323951809067076
root,down,GO:0009738,abscisic acid-activated signaling pathway,55,174,1,0.3467340131345265,AT1G15100,0.3987441151047055
root,up,GO:0009639,response to red or far red light,211,34,1,0.2733328557068911,AT5G45340,0.3991839547374021
root,up,GO:0071281,cellular response to iron ion,211,35,1,0.2801301588698044,AT4G11280,0.40046776232795983
root,up,GO:0010286,heat acclimation,211,35,1,0.2801301588698044,AT5G05410,0.40046776232795983
root,up,GO:0002229,defense response to oomycetes,211,35,1,0.2801301588698044,AT5G26920,0.40046776232795983
shoot,down,GO:0044550,secondary metabolite biosynthetic process,167,116,2,0.21167592954873396,"AT3G26330,AT3G52970",0.4014543491441506
root,down,GO:0009611,response to wounding,55,180,1,0.35629298837599344,AT2G44810,0.4030199376712057
root,up,GO:0010029,regulation of seed germination,211,36,1,0.28686417804334924,AT1G60190,0.40629508643723855
root,up,GO:0006970,response to osmotic stress,211,114,2,0.2882093223988293,"AT1G61340,AT3G45640",0.40629508643723855
root,up,GO:0009615,response to virus,211,37,1,0.29353549963203707,AT5G24590,0.4109496994848519
root,up,GO:0001666,response to hypoxia,211,38,1,0.3001447046323756,AT1G35140,0.41732448657789206
hypocotyl,up,GO:0015979,photosynthesis,85,109,1,0.3375960780566851,AT4G15530,0.41958369701330867
hypocotyl,up,GO:0045892,"negative regulation of transcription, DNA-templated",85,111,1,0.3425955570279135,AT4G38620,0.41980018959758414
hypocotyl,up,GO:0006869,lipid transport,85,113,1,0.34755774315209176,AT5G52160,0.41996560630877755
whole plant,down,GO:0007165,signal transduction,32,362,1,0.40386088049753327,AT4G36450,0.4200153157174346
root,up,GO:0010311,lateral root formation,211,40,1,0.31317906211138036,AT3G59420,0.4324853714871443
root,up,GO:0000160,phosphorelay signal transduction system,211,41,1,0.31960534998750545,AT3G56380,0.43837760842880813
shoot,down,GO:0071805,potassium ion transmembrane transport,167,37,1,0.24023929986825962,AT3G02850,0.44043871642514265
shoot,down,GO:0009911,positive regulation of flower development,167,37,1,0.24023929986825962,AT4G25530,0.44043871642514265
shoot,down,GO:0031047,gene silencing by RNA,167,39,1,0.251449115464771,AT4G25530,0.4436896415272215
shoot,down,GO:0009832,plant-type cell wall biogenesis,167,40,1,0.2569922157537645,AT5G50750,0.4436896415272215
shoot,down,GO:0030244,cellulose biosynthetic process,167,40,1,0.2569922157537645,AT5G50750,0.4436896415272215
shoot,down,GO:0009834,plant-type secondary cell wall biogenesis,167,41,1,0.2624945127680485,AT4G10350,0.4436896415272215
shoot,down,GO:0016310,phosphorylation,167,467,5,0.2640786669551046,"AT1G29230,AT1G66930,AT3G11870,AT5G59260,AT5G60080",0.4436896415272215
shoot,down,GO:0016042,lipid catabolic process,167,136,2,0.2662137849163329,"AT1G71691,AT3G09930",0.4436896415272215
root,up,GO:0048767,root hair elongation,211,42,1,0.32597179216722305,AT3G62720,0.4441092202009817
root,up,GO:0048481,plant ovule development,211,43,1,0.3322789433425621,AT3G45640,0.44670612912940466
root,up,GO:0016049,cell growth,211,43,1,0.3322789433425621,AT1G12610,0.44670612912940466
shoot,up,GO:0045893,"positive regulation of transcription, DNA-templated",58,181,1,0.3732214034185993,AT5G49450,0.4491308414020432
root,up,GO:0016311,dephosphorylation,211,44,1,0.33852735308864695,AT2G32770,0.44915720703918516
root,up,GO:0008219,cell death,211,44,1,0.33852735308864695,AT3G50930,0.44915720703918516
root,up,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,211,130,2,0.343073717172343,"AT2G07040,AT2G31880",0.45223353627263396
shoot,down,GO:0006865,amino acid transport,167,44,1,0.2787595589265795,AT1G44800,0.45477822133262724
shoot,down,GO:0048527,lateral root development,167,45,1,0.2841016068114097,AT2G14210,0.45477822133262724
shoot,down,GO:0016051,carbohydrate biosynthetic process,167,46,1,0.28940432266621735,AT1G09350,0.45477822133262724
shoot,down,GO:0009631,cold acclimation,167,46,1,0.28940432266621735,AT2G21490,0.45477822133262724
root,up,GO:0016051,carbohydrate biosynthetic process,211,46,1,0.35085012129047066,AT3G28340,0.4565549655254202
root,up,GO:0000209,protein polyubiquitination,211,46,1,0.35085012129047066,AT3G46620,0.4565549655254202
shoot,up,GO:0009908,flower development,58,190,1,0.3876733845029683,AT1G69490,0.45874683832851243
hypocotyl,up,GO:0045454,cell redox homeostasis,85,131,1,0.3905839434315041,AT1G28480,0.46021820248428663
hypocotyl,up,GO:0007165,signal transduction,85,362,2,0.39624238451702976,"AT5G18350,AT5G45240",0.46021820248428663
hypocotyl,up,GO:0009737,response to abscisic acid,85,363,2,0.39756907825040844,"AT1G18570,AT5G27420",0.46021820248428663
hypocotyl,up,GO:0016042,lipid catabolic process,85,136,1,0.4020296941242044,AT2G30550,0.46021820248428663
root,up,GO:0009910,negative regulation of flower development,211,47,1,0.3569255537325958,AT1G13260,0.4615024675650762
hypocotyl,down,GO:0009738,abscisic acid-activated signaling pathway,71,174,1,0.42295060376409593,AT5G45830,0.46806533483226614
hypocotyl,down,GO:0009611,response to wounding,71,180,1,0.4338312648698208,AT5G13930,0.46956973700120536
hypocotyl,down,GO:0045893,"positive regulation of transcription, DNA-templated",71,181,1,0.435624936736058,AT3G56290,0.46956973700120536
whole plant,up,GO:0006508,proteolysis,75,429,2,0.4181318778174934,"AT1G06260,AT4G16563",0.4713486622669925
shoot,down,GO:0008152,metabolic process,167,150,2,0.3044790097316981,"AT1G20480,AT1G31070",0.47172804324629286
root,up,GO:0051707,response to other organism,211,50,1,0.37481438477659,AT3G02840,0.4815653171496695
whole plant,up,GO:0009651,response to salt stress,75,448,2,0.43982416501935173,"AT3G21370,AT5G39610",0.48452603033143343
whole plant,up,GO:0009735,response to cytokinin,75,181,1,0.453552747743808,AT5G65800,0.48452603033143343
whole plant,up,GO:0045893,"positive regulation of transcription, DNA-templated",75,181,1,0.453552747743808,AT4G28500,0.48452603033143343
whole plant,up,GO:0016310,phosphorylation,75,467,2,0.46108122241217053,"AT1G51810,AT3G46370",0.48452603033143343
root,up,GO:0009846,pollen germination,211,51,1,0.3806665725593923,AT2G07040,0.48600826559469584
whole plant,down,GO:0016310,phosphorylation,32,467,1,0.48772784063647473,AT5G24080,0.48772784063647473
hypocotyl,up,GO:0008152,metabolic process,85,150,1,0.432959767683608,AT5G58830,0.48918830894121945
root,up,GO:0009644,response to high light intensity,211,52,1,0.38646423685353415,AT1G27730,0.4903265005079215
root,up,GO:0006886,intracellular protein transport,211,144,2,0.3899646027926816,"AT1G61290,AT3G52400",0.4914703722147835
root,up,GO:0009736,cytokinin-activated signaling pathway,211,53,1,0.3922078832452952,AT3G56380,0.4914703722147835
shoot,down,GO:0006397,mRNA processing,167,157,2,0.32349587003614966,"AT1G60210,AT3G11870",0.4942298014441175
hypocotyl,up,GO:0009873,ethylene-activated signaling pathway,85,155,1,0.44361858597530307,AT1G06160,0.4948053458955303
root,up,GO:0042538,hyperosmotic salinity response,211,54,1,0.3978980126549696,AT5G59820,0.4955416967420787
shoot,down,GO:0006281,DNA repair,167,159,2,0.32890675540244646,"AT1G75090,AT5G63920",0.4956129190995769
shoot,down,GO:0009416,response to light stimulus,167,161,2,0.3343060366701229,"AT1G60980,AT1G78440",0.49694140586099345
root,up,GO:0006812,cation transport,211,55,1,0.40353512137972486,AT5G17850,0.4994977417078301
root,up,GO:0006486,protein glycosylation,211,56,1,0.4091197011360642,AT3G62720,0.5009132875553877
root,up,GO:0008152,metabolic process,211,150,2,0.40961382135071106,"AT1G68620,AT3G59420",0.5009132875553877
root,up,GO:0016036,cellular response to phosphate starvation,211,58,1,0.42013321795828096,AT2G47190,0.5107008577576709
root,down,GO:0009733,response to auxin,55,256,1,0.4661124103556831,AT3G03840,0.5187380050732603
shoot,down,GO:0009664,plant-type cell wall organization,167,59,1,0.35488857648159056,AT3G54580,0.5205032455063329
shoot,down,GO:0006813,potassium ion transport,167,60,1,0.35966993666832797,AT3G02850,0.5205749083357378
root,down,GO:0030154,cell differentiation,55,264,1,0.4765414245676474,AT5G60910,0.5206887812961573
root,down,GO:0071555,cell wall organization,55,269,1,0.4829577101877401,AT1G05650,0.5206887812961573
root,up,GO:0006813,potassium ion transport,211,60,1,0.430942406829729,AT5G17850,0.5207220749192559
root,up,GO:0007165,signal transduction,211,362,4,0.4385529756767434,"AT1G72920,AT3G45640,AT4G13810,AT5G58120",0.5267825684164432
hypocotyl,down,GO:0006511,ubiquitin-dependent protein catabolic process,71,218,1,0.4981938275255017,AT5G53840,0.5301293292899569
root,up,GO:0009416,response to light stimulus,211,161,2,0.44480958462152564,"AT1G66180,AT5G59820",0.5303895081547446
root,up,GO:0006857,oligopeptide transport,211,63,1,0.44678130982493264,AT5G19640,0.5303895081547446
shoot,down,GO:0007275,multicellular organism development,167,300,3,0.38261868253286313,"AT1G22090,AT4G10350,AT4G25530",0.5325730271544505
shoot,down,GO:0009735,response to cytokinin,167,181,2,0.38749089163296496,"AT1G74890,AT5G62920",0.5325730271544505
shoot,down,GO:0006508,proteolysis,167,429,4,0.3915753247762726,"AT1G31450,AT3G12230,AT3G22570,AT3G46860",0.5325730271544505
