tissue,direction,go_id,term,selected_genes,term_size,overlap,p,genes,fdr
hypocotyl,up,GO:0000470,maturation of LSU-rRNA,85,8,1,0.029711602307059087,AT2G39820,0.14360607781745227
hypocotyl,down,GO:0009753,response to jasmonic acid,71,147,2,0.07814332506461434,"AT1G56650,AT5G13930",0.14413102178584422
root,up,GO:0009828,plant-type cell wall loosening,211,34,2,0.04005276920047991,"AT3G45960,AT3G45970",0.14519128835173967
hypocotyl,up,GO:0043562,cellular response to nitrogen levels,85,9,1,0.033363664203348325,AT5G27420,0.14632664946678622
hypocotyl,up,GO:0007155,cell adhesion,85,10,1,0.03700214124447468,AT2G01480,0.14632664946678622
hypocotyl,up,GO:2000280,regulation of root development,85,10,1,0.03700214124447468,AT5G04340,0.14632664946678622
hypocotyl,up,GO:0007205,protein kinase C-activating G-protein coupled receptor signaling pathway,85,10,1,0.03700214124447468,AT4G28130,0.14632664946678622
shoot,up,GO:0010182,sugar mediated signaling pathway,58,30,1,0.07426797117225768,AT5G49450,0.14647294314528597
hypocotyl,down,GO:0016485,protein processing,71,27,1,0.08152395068076179,AT3G52650,0.14651034135731064
hypocotyl,down,GO:0005975,carbohydrate metabolic process,71,329,3,0.08501226141206579,"AT1G48100,AT4G01700,AT5G20710",0.14651034135731064
hypocotyl,down,GO:0009873,ethylene-activated signaling pathway,71,155,2,0.0855531820356465,"AT2G35700,AT3G20840",0.14651034135731064
hypocotyl,down,GO:0009734,auxin-activated signaling pathway,71,156,2,0.08649405694588218,"AT2G46990,AT3G20840",0.14651034135731064
hypocotyl,down,GO:0030162,regulation of proteolysis,71,30,1,0.09016732389530546,AT1G62170,0.14674289967275203
hypocotyl,down,GO:0010182,sugar mediated signaling pathway,71,30,1,0.09016732389530546,AT5G45830,0.14674289967275203
hypocotyl,down,GO:0009630,gravitropism,71,31,1,0.09303058882165771,AT2G46990,0.14849113215764598
hypocotyl,up,GO:0043068,positive regulation of programmed cell death,85,11,1,0.04062708336369968,AT3G11440,0.1536763588105162
root,up,GO:0051607,defense response to virus,211,36,2,0.044439487795744796,"AT5G06320,AT5G24590",0.15509115152759836
root,up,GO:0046345,abscisic acid catabolic process,211,5,1,0.045839749219979804,AT5G45340,0.15509115152759836
root,up,GO:0002679,respiratory burst involved in defense response,211,5,1,0.045839749219979804,AT2G35930,0.15509115152759836
root,up,GO:2000037,regulation of stomatal complex patterning,211,5,1,0.045839749219979804,AT3G45640,0.15509115152759836
root,up,GO:0006904,vesicle docking involved in exocytosis,211,37,2,0.04669660085058836,"AT3G09530,AT5G58430",0.15540016348638422
whole plant,down,GO:0045490,pectin catabolic process,32,92,1,0.12249561017052898,AT2G26450,0.15608267800666217
