go_id,term,glds7_root_fdr,study,external_up_genes,term_size,overlap,p,genes,fdr,replicated
GO:0009617,response to bacterium,0.0005362447579475,GLDS-17,491,96,6,0.018354696470205913,"AT1G33970,AT1G73805,AT2G14580,AT3G12580,AT4G24180,AT4G37990",0.10011652620112316,False
GO:0002237,response to molecule of bacterial origin,9.213166993413651e-06,GLDS-37,1574,16,4,0.021721576602293576,"AT3G05360,AT3G50930,AT4G31800,AT5G24590",0.10860788301146788,False
GO:0045893,"positive regulation of transcription, DNA-templated",2.897483255474468e-05,GLDS-17,491,181,8,0.04471212168784814,"AT1G63910,AT1G73500,AT1G77180,AT2G26150,AT5G04410,AT5G05410,AT5G46760,AT5G62940",0.20636363855929912,False
GO:0009409,response to cold,7.080917929743689e-05,GLDS-121,1065,291,20,0.05970652883454146,"AT1G05260,AT1G35720,AT1G53240,AT1G63940,AT2G28900,AT2G36530,AT2G37190,AT2G39460,AT3G02870,AT3G09200,AT3G11630,AT3G23000,AT3G26650,AT3G49910,AT4G24190,AT4G37930,AT4G38840,AT5G12250,AT5G20630,AT5G65020",0.25588512357660625,False
GO:0009753,response to jasmonic acid,7.196795560616747e-06,GLDS-44,1707,147,16,0.08928755207633031,"AT1G15520,AT1G44350,AT1G61120,AT1G70700,AT1G71030,AT2G24850,AT2G26690,AT2G34600,AT2G36890,AT2G39730,AT3G23050,AT3G50660,AT3G51420,AT3G51430,AT4G35770,AT5G67480",0.34821958219969806,False
GO:0031347,regulation of defense response,2.560896189512346e-05,GLDS-37,1574,56,7,0.09285855525325282,"AT1G19180,AT2G18790,AT3G17860,AT3G27960,AT4G23810,AT4G31800,AT5G20900",0.34821958219969806,False
GO:0009611,response to wounding,4.9365824624908134e-14,GLDS-44,1707,180,18,0.13594886053076755,"AT1G01140,AT1G51400,AT1G61120,AT1G70700,AT2G02990,AT2G24850,AT2G26690,AT2G34600,AT3G17800,AT3G23050,AT3G51420,AT4G24220,AT4G34190,AT4G35770,AT5G14780,AT5G20230,AT5G54170,AT5G67480",0.4798195077556502,False
GO:0009409,response to cold,7.080917929743689e-05,GLDS-44,1707,291,27,0.156678402794577,"AT1G01140,AT1G05140,AT1G09350,AT1G16880,AT1G23740,AT1G45474,AT1G61520,AT1G74710,AT2G33800,AT2G36400,AT2G38750,AT2G39730,AT2G40880,AT2G42530,AT2G47180,AT3G04880,AT3G16690,AT3G47470,AT3G54890,AT4G04650,AT4G20260,AT4G24770,AT4G38840,AT5G06290,AT5G20250,AT5G42900,AT5G52440",0.5015023787542711,False
GO:0009617,response to bacterium,0.0005362447579475,GLDS-121,1065,96,7,0.167167459584757,"AT1G11580,AT1G12240,AT2G22330,AT2G46450,AT4G00860,AT4G39980,AT5G61420",0.5015023787542711,False
GO:0001944,vasculature development,4.486136946147775e-05,GLDS-38,2100,23,4,0.16006147393378875,"AT1G74930,AT2G26330,AT3G24770,AT5G65800",0.5015023787542711,False
GO:0009409,response to cold,7.080917929743689e-05,GLDS-17,491,291,9,0.1846655607841479,"AT1G09350,AT1G09560,AT1G24620,AT2G33380,AT2G38470,AT3G57260,AT4G17090,AT4G38680,AT5G53000",0.5276158879547083,False
GO:0045893,"positive regulation of transcription, DNA-templated",2.897483255474468e-05,GLDS-44,1707,181,17,0.20829551215651831,"AT1G21600,AT1G56170,AT1G61040,AT1G73870,AT1G75240,AT2G22430,AT2G32460,AT3G24500,AT3G24650,AT3G58120,AT4G24540,AT5G08050,AT5G28300,AT5G43410,AT5G44190,AT5G49330,AT5G49520",0.5564458896338017,False
GO:0001944,vasculature development,4.486136946147775e-05,GLDS-37,1574,23,3,0.2133042576929573,"AT3G15770,AT3G24770,AT4G17490",0.5564458896338017,False
GO:0031347,regulation of defense response,2.560896189512346e-05,GLDS-44,1707,56,6,0.2466760909141168,"AT1G10650,AT1G70700,AT2G18950,AT2G34600,AT3G07780,AT4G03490",0.616690227285292,False
GO:0002237,response to molecule of bacterial origin,9.213166993413651e-06,GLDS-17,491,16,1,0.29651018675043667,AT4G31800,0.711624448201048,False
GO:0009753,response to jasmonic acid,7.196795560616747e-06,GLDS-37,1574,147,12,0.3274448964752433,"AT1G18570,AT1G19180,AT1G61340,AT2G26690,AT2G46370,AT2G46410,AT2G46830,AT4G05100,AT4G23100,AT5G37500,AT5G42650,AT5G67300",0.73819828961068,False
GO:0050832,defense response to fungus,5.847401603616752e-05,GLDS-121,1065,199,11,0.337822820884759,"AT1G11580,AT1G49430,AT1G64670,AT1G67865,AT2G02100,AT2G37630,AT3G16530,AT3G23820,AT3G59660,AT4G22212,AT5G61420",0.73819828961068,False
GO:0031347,regulation of defense response,2.560896189512346e-05,GLDS-17,491,56,2,0.3444925351516507,"AT1G32740,AT4G31800",0.73819828961068,False
GO:0009873,ethylene-activated signaling pathway,9.213166993413651e-06,GLDS-37,1574,155,12,0.39575766571571014,"AT1G22190,AT1G53170,AT1G64380,AT1G78080,AT2G20880,AT3G24500,AT3G50260,AT3G61630,AT4G17490,AT4G28140,AT5G47230,AT5G53290",0.7937740114443783,False
GO:0001944,vasculature development,4.486136946147775e-05,GLDS-17,491,23,1,0.39688700572218916,AT4G34840,0.7937740114443783,False
GO:0050832,defense response to fungus,5.847401603616752e-05,GLDS-17,491,199,5,0.4353616703310577,"AT2G33380,AT2G38470,AT3G52400,AT3G61980,AT4G31800",0.8426354909633376,False
GO:0009611,response to wounding,4.9365824624908134e-14,GLDS-121,1065,180,9,0.47677973731276535,"AT1G51680,AT2G22330,AT2G28900,AT2G37040,AT3G13790,AT3G19710,AT3G21240,AT4G10270,AT4G39980",0.8939620074614351,False
GO:0050832,defense response to fungus,5.847401603616752e-05,GLDS-44,1707,199,15,0.5427354924355932,"AT1G51940,AT1G74710,AT2G01650,AT2G20070,AT2G26330,AT2G36450,AT2G37130,AT2G42530,AT3G11820,AT3G48990,AT5G17290,AT5G20230,AT5G46350,AT5G52020,AT5G54220",0.8949849796513328,False
GO:0009751,response to salicylic acid,3.2033235841401056e-10,GLDS-44,1707,141,11,0.5016146944409045,"AT1G02860,AT1G15520,AT1G21270,AT1G71030,AT2G36890,AT3G02885,AT3G20470,AT3G48920,AT3G51430,AT5G03780,AT5G67480",0.8949849796513328,False
GO:0009753,response to jasmonic acid,7.196795560616747e-06,GLDS-121,1065,147,7,0.5436348797110091,"AT1G06180,AT1G28290,AT2G28900,AT2G37630,AT5G59780,AT5G60890,AT5G61420",0.8949849796513328,False
GO:0009611,response to wounding,4.9365824624908134e-14,GLDS-17,491,180,4,0.5519074041183218,"AT1G73500,AT2G14580,AT2G44810,AT5G54170",0.8949849796513328,False
GO:0001944,vasculature development,4.486136946147775e-05,GLDS-44,1707,23,2,0.5274082397914661,"AT2G26330,AT3G15770",0.8949849796513328,False
GO:0009751,response to salicylic acid,3.2033235841401056e-10,GLDS-17,491,141,3,0.5944010593639529,"AT2G14580,AT2G33380,AT4G31800",0.9385279884693993,False
GO:0009751,response to salicylic acid,3.2033235841401056e-10,GLDS-121,1065,141,6,0.6582901401029111,"AT1G06180,AT2G37630,AT2G37710,AT3G48920,AT5G59780,AT5G61420",0.9490259410068617,False
GO:0010200,response to chitin,1.3208878374946101e-18,GLDS-121,1065,121,5,0.6801352577215842,"AT1G19050,AT2G21210,AT3G16530,AT3G61460,AT5G59780",0.9490259410068617,False
GO:0009753,response to jasmonic acid,7.196795560616747e-06,GLDS-17,491,147,3,0.6225956988881145,"AT2G14580,AT5G09980,AT5G46760",0.9490259410068617,False
GO:0009873,ethylene-activated signaling pathway,9.213166993413651e-06,GLDS-17,491,155,3,0.6580599173478932,"AT1G73500,AT3G46060,AT5G44790",0.9490259410068617,False
GO:0001944,vasculature development,4.486136946147775e-05,GLDS-121,1065,23,1,0.6708450039678018,AT5G61480,0.9490259410068617,False
GO:0050832,defense response to fungus,5.847401603616752e-05,GLDS-38,2100,199,16,0.7642795178633137,"AT1G19670,AT1G27950,AT1G49430,AT1G51940,AT1G56650,AT1G64670,AT1G74710,AT2G02100,AT2G05210,AT2G26330,AT2G33380,AT3G05730,AT4G08870,AT4G30650,AT4G31800,AT5G11270",1.0,False
GO:0009611,response to wounding,4.9365824624908134e-14,GLDS-38,2100,180,14,0.7947085744229914,"AT1G09340,AT1G26630,AT1G55480,AT1G74930,AT2G28900,AT2G34810,AT4G08170,AT4G10390,AT4G24350,AT4G28680,AT4G34190,AT4G37760,AT5G13930,AT5G22500",1.0,False
GO:0009753,response to jasmonic acid,7.196795560616747e-06,GLDS-38,2100,147,11,0.8148093027351124,"AT1G01060,AT1G49010,AT1G56650,AT1G74430,AT2G28900,AT2G34810,AT2G39730,AT4G26850,AT4G37760,AT5G09980,AT5G13930",1.0,False
GO:0045893,"positive regulation of transcription, DNA-templated",2.897483255474468e-05,GLDS-38,2100,181,11,0.9551612562215217,"AT1G09340,AT1G74850,AT2G20570,AT2G26150,AT2G34640,AT3G56290,AT3G63140,AT5G11590,AT5G28300,AT5G49330,AT5G65310",1.0,False
GO:0010200,response to chitin,1.3208878374946101e-18,GLDS-44,1707,121,7,0.81728912773397,"AT1G19050,AT1G64380,AT2G34600,AT3G23230,AT4G11660,AT5G03720,AT5G49520",1.0,False
GO:0009751,response to salicylic acid,3.2033235841401056e-10,GLDS-38,2100,141,6,0.9924604167164179,"AT1G01060,AT1G49010,AT1G74430,AT2G33380,AT3G04290,AT4G31800",1.0,False
GO:0009617,response to bacterium,0.0005362447579475,GLDS-38,2100,96,6,0.8918448986256151,"AT1G26630,AT1G74710,AT2G26440,AT5G03760,AT5G57890,AT5G60600",1.0,False
GO:0009873,ethylene-activated signaling pathway,9.213166993413651e-06,GLDS-38,2100,155,4,0.9997915861531013,"AT1G44830,AT1G74930,AT5G11590,AT5G25190",1.0,False
GO:0009873,ethylene-activated signaling pathway,9.213166993413651e-06,GLDS-121,1065,155,4,0.9379649203690524,"AT1G05850,AT1G16060,AT1G68840,AT3G23150",1.0,False
GO:0031347,regulation of defense response,2.560896189512346e-05,GLDS-38,2100,56,4,0.7767916496744958,"AT4G00020,AT4G31800,AT4G35070,AT5G11270",1.0,False
GO:0009617,response to bacterium,0.0005362447579475,GLDS-44,1707,96,4,0.9381915814655836,"AT1G33950,AT1G61120,AT1G74710,AT5G49520",1.0,False
GO:0045893,"positive regulation of transcription, DNA-templated",2.897483255474468e-05,GLDS-121,1065,181,3,0.992199824034494,"AT2G42380,AT3G58120,AT5G60890",1.0,False
GO:0010200,response to chitin,1.3208878374946101e-18,GLDS-38,2100,121,2,0.9999027077222062,"AT2G26150,AT4G31800",1.0,False
GO:0002237,response to molecule of bacterial origin,9.213166993413651e-06,GLDS-38,2100,16,1,0.7901994467407791,AT4G31800,1.0,False
GO:0031347,regulation of defense response,2.560896189512346e-05,GLDS-121,1065,56,1,0.9333048715221677,AT1G10650,1.0,False
GO:0002237,response to molecule of bacterial origin,9.213166993413651e-06,GLDS-44,1707,16,0,1.0,,1.0,False
GO:0002237,response to molecule of bacterial origin,9.213166993413651e-06,GLDS-121,1065,16,0,1.0,,1.0,False
